sample,doc_len,chunk,cosine,l2_diff,||diff||,||pred||
long_1,1153,last,1.000000,0.000035,598.772522,598.772522
long_1,1153,exp_977,1.000000,0.000142,542.674988,542.675110
long_1,1153,exp_933,1.000000,0.000109,547.321716,547.321716
long_1,1153,exp_841,1.000000,0.000092,550.371582,550.371643
long_2,1395,last,1.000000,0.000035,598.772522,598.772522
long_2,1395,exp_977,1.000000,0.000188,543.539368,543.539490
long_2,1395,exp_933,1.000000,0.000148,548.059692,548.059814
long_2,1395,exp_841,1.000000,0.000092,551.034790,551.034790
long_3,1419,last,1.000000,0.000035,598.772522,598.772522
long_3,1419,exp_977,1.000000,0.000207,543.616760,543.616882
long_3,1419,exp_933,1.000000,0.000091,548.124329,548.124329
long_3,1419,exp_841,1.000000,0.000087,551.095154,551.095215
long_4,1649,last,1.000000,0.000035,598.772522,598.772522
long_4,1649,exp_977,1.000000,0.000214,544.295410,544.295593
long_4,1649,exp_933,1.000000,0.000139,548.682983,548.682861
long_4,1649,exp_841,1.000000,0.000113,551.599304,551.599426
long_5,1800,last,1.000000,0.000035,598.772522,598.772522
long_5,1800,exp_977,1.000000,0.000122,544.687439,544.687561
long_5,1800,exp_933,1.000000,0.000052,549.001038,549.001099
long_5,1800,exp_841,1.000000,0.000050,551.890747,551.890747
long_6,1264,last,1.000000,0.000034,598.772522,598.772522
long_6,1264,exp_977,1.000000,0.000131,543.091553,543.091675
long_6,1264,exp_933,1.000000,0.000081,547.681763,547.681763
long_6,1264,exp_841,1.000000,0.000165,550.692627,550.692688
long_7,1632,last,1.000000,0.000035,598.772522,598.772522
long_7,1632,exp_977,1.000000,0.000264,544.248718,544.248962
long_7,1632,exp_933,1.000000,0.000154,548.644836,548.644897
long_7,1632,exp_841,1.000000,0.000116,551.566406,551.566406
long_8,1751,last,1.000000,0.000035,598.772522,598.772522
long_8,1751,exp_977,1.000000,0.000091,544.564575,544.564514
long_8,1751,exp_933,1.000000,0.000053,548.901367,548.901367
long_8,1751,exp_841,1.000000,0.000063,551.798462,551.798523
long_9,1753,last,1.000000,0.000035,598.772522,598.772522
long_9,1753,exp_977,1.000000,0.000100,544.569641,544.569580
long_9,1753,exp_933,1.000000,0.000071,548.905579,548.905518
long_9,1753,exp_841,1.000000,0.000073,551.802307,551.802368
long_10,1287,last,1.000000,0.000033,598.772522,598.772522
long_10,1287,exp_977,1.000000,0.000152,543.173401,543.173523
long_10,1287,exp_933,1.000000,0.000068,547.751465,547.751465
long_10,1287,exp_841,1.000000,0.000094,550.756165,550.756226
short_1,61,last,1.000000,0.000034,598.772522,598.772522
short_1,61,exp_977,1.000000,0.000063,552.539978,552.539978
short_1,61,exp_933,1.000000,0.000059,539.178223,539.178284
short_1,61,exp_841,1.000000,0.000038,538.700073,538.700073
short_2,57,last,1.000000,0.000033,598.772522,598.772522
short_2,57,exp_977,1.000000,0.000057,554.050903,554.050903
short_2,57,exp_933,1.000000,0.000061,539.499634,539.499634
short_2,57,exp_841,1.000000,0.000051,538.548828,538.548828
short_3,47,last,1.000000,0.000033,598.772522,598.772522
short_3,47,exp_977,1.000000,0.000054,558.736450,558.736450
short_3,47,exp_933,1.000000,0.000050,540.743896,540.743896
short_3,47,exp_841,1.000000,0.000042,538.246460,538.246399
short_4,59,last,1.000000,0.000034,598.772522,598.772522
short_4,59,exp_977,1.000000,0.000058,553.273071,553.273132
short_4,59,exp_933,1.000000,0.000035,539.329224,539.329224
short_4,59,exp_841,1.000000,0.000047,538.623474,538.623474
short_5,62,last,1.000000,0.000034,598.772522,598.772522
short_5,62,exp_977,1.000000,0.000057,552.189026,552.189026
short_5,62,exp_933,1.000000,0.000073,539.109558,539.109497
short_5,62,exp_841,1.000000,0.000044,538.740051,538.740051
short_6,63,last,1.000000,0.000033,598.772522,598.772522
short_6,63,exp_977,1.000000,0.000062,551.848267,551.848206
short_6,63,exp_933,1.000000,0.000061,539.044861,539.044861
short_6,63,exp_841,1.000000,0.000067,538.779846,538.779785
short_7,57,last,1.000000,0.000033,598.772522,598.772522
short_7,57,exp_977,1.000000,0.000053,554.050903,554.050903
short_7,57,exp_933,1.000000,0.000050,539.499634,539.499634
short_7,57,exp_841,1.000000,0.000047,538.548828,538.548828
short_8,59,last,1.000000,0.000033,598.772522,598.772522
short_8,59,exp_977,1.000000,0.000054,553.273132,553.273132
short_8,59,exp_933,1.000000,0.000047,539.329224,539.329224
short_8,59,exp_841,1.000000,0.000047,538.623474,538.623474
short_9,60,last,1.000000,0.000034,598.772522,598.772522
short_9,60,exp_977,1.000000,0.000087,552.901123,552.901184
short_9,60,exp_933,1.000000,0.000034,539.251404,539.251404
short_9,60,exp_841,1.000000,0.000053,538.661316,538.661316
short_10,43,last,1.000000,0.000033,598.772522,598.772522
short_10,43,exp_977,1.000000,0.000064,561.064758,561.064819
short_10,43,exp_933,1.000000,0.000066,541.497864,541.497803
short_10,43,exp_841,1.000000,0.000041,538.185181,538.185181
