long_1,long_2,long_3,long_4,long_5,long_6,long_7,long_8,long_9,long_10,short_1,short_2,short_3,short_4,short_5,short_6,short_7,short_8,short_9,short_10
4.046056,4.046056,4.171820,4.311743,3.955101,4.240187,4.211487,4.224884,3.901977,4.057245,4.412671,4.412671,4.484971,4.357185,4.400107,4.349854,4.412671,4.357185,4.426044,4.460906
2.261273,2.261273,2.280079,2.217167,2.073549,2.317511,2.081909,2.007242,1.900099,2.286224,3.024168,3.024168,3.000525,3.108242,3.013199,3.003306,3.024168,3.108242,3.053857,3.029230
0.303234,0.303234,0.304117,0.354220,0.464884,0.419006,0.458738,0.472551,0.600781,0.365687,0.692282,0.692282,0.741247,0.670808,0.730671,0.707010,0.692282,0.670808,0.717695,0.704171
3.283158,3.283158,3.391149,2.857241,2.735508,3.286281,3.318584,2.886933,3.013316,3.309240,4.134033,4.134033,4.138138,4.079903,4.071310,4.073277,4.134033,4.079903,4.108678,4.149614
0.034813,0.034813,0.096929,0.175837,0.024673,0.013491,-0.099021,-0.238990,-0.143064,0.063963,0.121803,0.121803,0.138211,0.076163,0.029651,0.122960,0.121803,0.076163,0.087039,0.102982
1.420848,1.420848,1.520912,1.362727,1.777315,1.558527,1.515070,1.483348,1.451232,1.455493,1.346418,1.346418,1.416420,1.436211,1.325404,1.371683,1.346418,1.436211,1.416425,1.391279
1.424173,1.424173,1.390795,1.353067,1.522174,1.561145,1.359858,1.183918,1.308985,1.457263,1.368429,1.368429,1.407204,1.410239,1.412611,1.373326,1.368429,1.410239,1.447272,1.462923
-2.929128,-2.929128,-2.802365,-2.816275,-2.664347,-2.874242,-2.760860,-3.239442,-3.177084,-2.918493,-2.740734,-2.740734,-2.767640,-2.772841,-2.781082,-2.706448,-2.740734,-2.772841,-2.709954,-2.717760
-2.908594,-2.908594,-2.892520,-2.845224,-2.611629,-2.952507,-2.902360,-2.800609,-2.905926,-3.028594,-2.766876,-2.766876,-2.797014,-2.855034,-2.782097,-2.779396,-2.766876,-2.855034,-2.809197,-2.791316
1.821023,1.821023,1.783721,1.810563,1.549046,1.884491,2.018723,1.490115,1.502738,1.945480,1.772825,1.772825,1.744048,1.774617,1.682807,1.736101,1.772825,1.774617,1.810280,1.754150
0.148907,0.148907,0.353146,0.200075,0.045225,0.187596,0.231591,0.148244,0.027321,0.171574,0.379760,0.379760,0.273764,0.309555,0.343375,0.375113,0.379760,0.309555,0.362931,0.353925
0.722022,0.722022,0.671817,0.897321,0.913669,0.674235,0.833613,0.842342,0.882964,0.878912,0.505451,0.505451,0.573465,0.420160,0.364571,0.452635,0.505451,0.420160,0.453057,0.491801
2.287815,2.287815,2.410395,2.494486,2.338338,2.188570,2.235238,2.506369,2.323758,2.149798,2.296685,2.296685,2.160731,2.241306,2.247519,2.204541,2.296685,2.241306,2.152873,2.228961
-0.990844,-0.990844,-1.022466,-1.052344,-1.571527,-1.048617,-1.170863,-1.258300,-1.235968,-1.030955,-0.637464,-0.637464,-0.570811,-0.647180,-0.650275,-0.593550,-0.637464,-0.647180,-0.609461,-0.531797
-0.766874,-0.766874,-0.851068,-1.016174,-0.644896,-0.840984,-1.071528,-0.915020,-0.844120,-0.705359,-0.910128,-0.910128,-0.969451,-0.828332,-0.911093,-0.879701,-0.910128,-0.828332,-0.855865,-0.947924
