long_1,long_2,long_3,long_4,long_5,long_6,long_7,long_8,long_9,long_10,short_1,short_2,short_3,short_4,short_5,short_6,short_7,short_8,short_9,short_10
3.693359,3.693359,3.689453,3.697266,3.697266,3.693359,3.697266,3.693359,3.693359,3.693359,3.689453,3.689453,3.689453,3.689453,3.689453,3.689453,3.689453,3.689453,3.689453,3.689453
1.512695,1.512695,1.510742,1.514648,1.516602,1.519531,1.514648,1.512695,1.512695,1.512695,1.512695,1.512695,1.512695,1.512695,1.512695,1.512695,1.512695,1.512695,1.512695,1.512695
0.449951,0.449951,0.445068,0.447510,0.451660,0.450928,0.447510,0.449951,0.449951,0.449951,0.445557,0.445557,0.445557,0.445557,0.445557,0.445557,0.445557,0.445557,0.445557,0.445557
0.795410,0.795410,0.687988,0.650391,0.632324,0.616699,0.650391,0.795410,0.795410,0.795410,0.659180,0.659180,0.659180,0.659180,0.659180,0.659180,0.659180,0.659180,0.659180,0.659180
1.106445,1.106445,1.110352,1.104492,1.109375,1.108398,1.104492,1.106445,1.106445,1.106445,1.109375,1.109375,1.109375,1.109375,1.109375,1.109375,1.109375,1.109375,1.109375,1.109375
0.902832,0.902832,0.899414,0.900879,0.900879,0.900879,0.900879,0.902832,0.902832,0.902832,0.900391,0.900391,0.900391,0.900391,0.900391,0.900391,0.900391,0.900391,0.900391,0.900391
1.913086,1.913086,1.912109,1.908203,1.913086,1.913086,1.908203,1.913086,1.913086,1.913086,1.911133,1.911133,1.911133,1.911133,1.911133,1.911133,1.911133,1.911133,1.911133,1.911133
-1.794922,-1.794922,-1.797852,-1.795898,-1.792969,-1.792969,-1.795898,-1.794922,-1.794922,-1.794922,-1.797852,-1.797852,-1.797852,-1.797852,-1.797852,-1.797852,-1.797852,-1.797852,-1.797852,-1.797852
-1.452148,-1.452148,-1.451172,-1.454102,-1.450195,-1.451172,-1.454102,-1.452148,-1.452148,-1.452148,-1.450195,-1.450195,-1.450195,-1.450195,-1.450195,-1.450195,-1.450195,-1.450195,-1.450195,-1.450195
1.412109,1.412109,1.408203,1.412109,1.408203,1.409180,1.412109,1.412109,1.412109,1.412109,1.408203,1.408203,1.408203,1.408203,1.408203,1.408203,1.408203,1.408203,1.408203,1.408203
-0.225830,-0.225830,-0.225220,-0.223999,-0.221924,-0.226318,-0.223999,-0.225830,-0.225830,-0.225830,-0.223389,-0.223389,-0.223389,-0.223389,-0.223389,-0.223389,-0.223389,-0.223389,-0.223389,-0.223389
1.204102,1.204102,1.208984,1.206055,1.204102,1.205078,1.206055,1.204102,1.204102,1.204102,1.206055,1.206055,1.206055,1.206055,1.206055,1.206055,1.206055,1.206055,1.206055,1.206055
1.753906,1.753906,1.752930,1.750977,1.752930,1.753906,1.750977,1.753906,1.753906,1.753906,1.753906,1.753906,1.753906,1.753906,1.753906,1.753906,1.753906,1.753906,1.753906,1.753906
-0.105103,-0.105103,-0.109619,-0.107178,-0.108154,-0.106567,-0.107178,-0.105103,-0.105103,-0.105103,-0.109985,-0.109985,-0.109985,-0.109985,-0.109985,-0.109985,-0.109985,-0.109985,-0.109985,-0.109985
-0.674805,-0.674805,-0.678223,-0.675781,-0.674805,-0.673828,-0.675781,-0.674805,-0.674805,-0.674805,-0.676758,-0.676758,-0.676758,-0.676758,-0.676758,-0.676758,-0.676758,-0.676758,-0.676758,-0.676758
-0.572266,-0.572266,-0.573730,-0.574219,-0.572266,-0.572266,-0.574219,-0.572266,-0.572266,-0.572266,-0.573730,-0.573730,-0.573730,-0.573730,-0.573730,-0.573730,-0.573730,-0.573730,-0.573730,-0.573730
0.578613,0.578613,0.575684,0.576172,0.577148,0.576172,0.576172,0.578613,0.578613,0.578613,0.575195,0.575195,0.575195,0.575195,0.575195,0.575195,0.575195,0.575195,0.575195,0.575195
0.084290,0.084290,0.089355,0.087891,0.087952,0.088928,0.087891,0.084290,0.084290,0.084290,0.089844,0.089844,0.089844,0.089844,0.089844,0.089844,0.089844,0.089844,0.089844,0.089844
-0.386475,-0.386475,-0.385986,-0.384521,-0.385498,-0.385742,-0.384521,-0.386475,-0.386475,-0.386475,-0.386475,-0.386475,-0.386475,-0.386475,-0.386475,-0.386475,-0.386475,-0.386475,-0.386475,-0.386475
0.034943,0.034943,0.036377,0.038483,0.038116,0.039642,0.038483,0.034943,0.034943,0.034943,0.036163,0.036163,0.036163,0.036163,0.036163,0.036163,0.036163,0.036163,0.036163,0.036163
0.371826,0.371826,0.367432,0.371582,0.369873,0.368164,0.371582,0.371826,0.371826,0.371826,0.370361,0.370361,0.370361,0.370361,0.370361,0.370361,0.370361,0.370361,0.370361,0.370361
-1.233398,-1.233398,-1.234375,-1.234375,-1.232422,-1.232422,-1.234375,-1.233398,-1.233398,-1.233398,-1.235352,-1.235352,-1.235352,-1.235352,-1.235352,-1.235352,-1.235352,-1.235352,-1.235352,-1.235352
0.713867,0.713867,0.710938,0.711914,0.710938,0.711914,0.711914,0.713867,0.713867,0.713867,0.709961,0.709961,0.709961,0.709961,0.709961,0.709961,0.709961,0.709961,0.709961,0.709961
1.035156,1.035156,1.034180,1.035156,1.035156,1.035156,1.035156,1.035156,1.035156,1.035156,1.034180,1.034180,1.034180,1.034180,1.034180,1.034180,1.034180,1.034180,1.034180,1.034180
0.814941,0.814941,0.814941,0.813965,0.814941,0.812988,0.813965,0.814941,0.814941,0.814941,0.815430,0.815430,0.815430,0.815430,0.815430,0.815430,0.815430,0.815430,0.815430,0.815430
1.513672,1.513672,1.509766,1.512695,1.512695,1.508789,1.512695,1.513672,1.513672,1.513672,1.512695,1.512695,1.512695,1.512695,1.512695,1.512695,1.512695,1.512695,1.512695,1.512695
0.948730,0.948730,0.947754,0.948242,0.946289,0.946289,0.948242,0.948730,0.948730,0.948730,0.945801,0.945801,0.945801,0.945801,0.945801,0.945801,0.945801,0.945801,0.945801,0.945801
1.287109,1.287109,1.282227,1.282227,1.280273,1.281250,1.282227,1.287109,1.287109,1.287109,1.283203,1.283203,1.283203,1.283203,1.283203,1.283203,1.283203,1.283203,1.283203,1.283203
0.898926,0.898926,0.895996,0.898926,0.899902,0.898926,0.898926,0.898926,0.898926,0.898926,0.897949,0.897949,0.897949,0.897949,0.897949,0.897949,0.897949,0.897949,0.897949,0.897949
-0.955566,-0.955566,-0.957520,-0.955566,-0.953613,-0.954590,-0.955566,-0.955566,-0.955566,-0.955566,-0.955566,-0.955566,-0.955566,-0.955566,-0.955566,-0.955566,-0.955566,-0.955566,-0.955566,-0.955566
0.092896,0.092896,0.092163,0.093811,0.091858,0.092407,0.093811,0.092896,0.092896,0.092896,0.092712,0.092712,0.092712,0.092712,0.092712,0.092712,0.092712,0.092712,0.092712,0.092712
-0.738281,-0.738281,-0.737793,-0.739258,-0.739258,-0.738281,-0.739258,-0.738281,-0.738281,-0.738281,-0.740234,-0.740234,-0.740234,-0.740234,-0.740234,-0.740234,-0.740234,-0.740234,-0.740234,-0.740234
