long_1,long_2,long_3,long_4,long_5,long_6,long_7,long_8,long_9,long_10,short_1,short_2,short_3,short_4,short_5,short_6,short_7,short_8,short_9,short_10
-0.271669,-0.271669,0.575624,-0.093410,0.810742,-1.740792,-1.177451,0.412664,-0.946344,0.175637,-1.011794,-1.011794,-0.346003,-0.678450,4.808257,-0.790141,-1.734625,0.535080,0.672069,0.112791
1.630642,1.630642,-0.186111,0.584199,1.671255,-0.544687,-0.276353,1.015199,-0.974487,0.537020,0.632816,0.632816,4.269537,0.580299,2.771104,2.123265,0.023014,2.999205,0.067625,0.756220
-1.968411,-1.968411,-0.107344,-0.640951,0.939406,-0.368691,-0.322211,0.333993,-2.419012,0.514152,-0.991033,-0.991033,1.333979,0.494775,1.744328,2.319976,1.779578,0.956450,-0.713947,-1.134905
-0.549671,-0.549671,-0.580564,-0.428730,-0.956909,-0.395491,-1.324208,-1.144789,0.556529,1.345696,1.664508,1.664508,0.069082,0.178145,-3.362407,-1.241953,0.526629,-0.374244,1.506277,3.962121
-0.769614,-0.769614,-0.301208,-1.483170,-0.257505,0.751952,0.497443,-1.127637,-0.441308,-6.952876,-2.115784,-2.115784,-1.874986,-2.503858,1.476162,1.540741,0.134015,-0.433528,-1.078704,-1.670076
-0.707869,-0.707869,-1.001588,1.237522,-0.568236,-0.896846,0.412603,0.175895,-1.452827,-1.728112,-1.996584,-1.996584,-2.012012,0.804616,1.666574,-1.728918,-1.310361,-1.149107,-4.172306,-1.390702
1.794905,1.794905,2.200658,1.499597,-0.664978,-0.310634,-0.705778,-0.031203,2.241316,0.416641,0.562446,0.562446,1.563468,-0.499142,0.105980,-2.385747,-0.351433,0.011894,0.411790,2.053055
-0.863529,-0.863529,-2.192503,-0.955755,-1.012874,-3.565095,-4.180470,-3.959487,-1.021151,-0.260805,-2.042420,-2.042420,-1.557686,0.846413,-0.241247,-2.587789,-3.433649,-2.994430,0.389848,-4.149074
0.878622,0.878622,-0.460741,1.152094,-0.529356,-1.388033,-0.302537,-0.864252,-0.219965,-0.251707,0.374200,0.374200,-2.037372,0.573691,-0.592455,-1.262993,0.504726,-0.479712,-0.595461,1.863983
0.547894,0.547894,0.845318,-0.967477,1.387510,-1.596365,-1.874830,-1.773974,-0.630598,3.110040,-0.751672,-0.751672,-1.332082,0.212942,-0.144474,-1.716654,-3.278660,0.376247,1.219590,3.922843
