long_1,long_2,long_3,long_4,long_5,long_6,long_7,long_8,long_9,long_10,short_1,short_2,short_3,short_4,short_5,short_6,short_7,short_8,short_9,short_10
-0.922750,-0.922750,-0.074267,-0.733929,0.176143,-2.397413,-1.818686,-0.223811,-1.582737,-0.480163,-1.596691,-1.596691,-0.878911,-1.271177,4.204817,-1.396832,-2.319522,-0.057647,0.075604,-0.391212
0.337306,0.337306,-1.475792,-0.675197,0.431016,-1.855465,-1.537934,-0.231218,-2.220640,-0.771023,-0.650788,-0.650788,3.019242,-0.708997,1.473888,0.823572,-1.260591,1.709909,-1.224391,-0.477653
-2.197449,-2.197449,-0.334876,-0.855712,0.732993,-0.604732,-0.537898,0.124922,-2.627990,0.279248,-1.398191,-1.398191,0.897431,0.092343,1.348317,1.925989,1.372421,0.554017,-1.114159,-1.586735
-3.954556,-3.954556,-3.981630,-3.796365,-4.301219,-3.817990,-4.694414,-4.496862,-2.795220,-2.074105,-2.102984,-2.102984,-3.764679,-3.578432,-7.103855,-4.978653,-3.240863,-4.130820,-2.245141,0.094407
0.293835,0.293835,0.762892,-0.414313,0.813596,1.812148,1.566020,-0.057113,0.629248,-5.892170,-1.162624,-1.162624,-0.922806,-1.550325,2.430393,2.495151,1.087176,0.520005,-0.124981,-0.717682
-1.172038,-1.172038,-1.466194,0.768485,-1.040612,-1.359037,-0.056074,-0.295243,-1.923999,-2.190615,-2.609662,-2.609662,-2.654930,0.196291,1.065038,-2.328351,-1.923439,-1.757431,-4.778376,-2.048753
2.359221,2.359221,2.765158,2.064720,-0.100070,0.252212,-0.140666,0.533864,2.806385,0.979769,0.975694,0.975694,1.980090,-0.086109,0.518886,-1.972792,0.061814,0.424927,0.824728,2.473055
0.134572,0.134572,-1.194000,0.046246,-0.008361,-2.569125,-3.178692,-2.955787,-0.017403,0.735531,-0.994873,-0.994873,-0.500146,1.892078,0.801636,-1.545846,-2.386102,-1.948765,1.434545,-3.087769
2.236569,2.236569,0.898100,2.518087,0.841003,-0.034437,1.062957,0.504783,1.149119,1.102582,1.607005,1.607005,-0.829573,1.810488,0.649774,-0.019102,1.737531,0.757085,0.643205,3.058218
0.146720,0.146720,0.443702,-1.372832,0.980488,-1.995307,-2.279942,-2.180631,-1.037264,2.710786,-1.334018,-1.334018,-1.933842,-0.365925,-0.718262,-2.288778,-3.861007,-0.202619,0.642397,3.312127
0.246575,0.246575,0.717877,-1.155297,-0.129964,-1.280898,-2.009043,-2.086627,-1.577209,1.296560,-0.400604,-0.400604,0.754864,-0.636698,-0.350763,-2.458499,-2.923821,-2.449093,-0.793391,0.392268
0.721417,0.721417,-0.415409,-1.695872,1.576452,-0.439492,0.521248,0.499416,1.046286,1.307473,2.008215,2.008215,0.039816,-1.814959,1.815252,1.524813,-0.722666,-1.241641,1.264884,1.717135
0.419797,0.419797,-0.396508,-1.052885,1.206547,0.329093,-0.341295,-0.171221,-0.791442,-1.341958,-2.703584,-2.703584,-1.639194,-0.810379,0.935587,0.015462,-2.353192,-2.330853,-2.296062,0.544947
0.040431,0.040431,-0.261244,-0.539696,1.263800,1.012657,0.710504,0.578218,-0.148528,1.758580,1.899465,1.899465,2.550630,2.134907,2.053473,1.430152,0.491702,0.068323,3.257910,1.532244
0.952865,0.952865,1.931109,-0.167759,-0.029047,1.186139,0.900231,1.107059,1.849845,-0.891022,0.709115,0.709115,1.577699,-0.774241,-2.195889,-0.639558,1.148789,1.910491,2.688643,-1.909048
1.057311,1.057311,0.772949,0.930628,0.537971,0.519634,0.726327,0.313282,-0.221009,2.085770,-0.418219,-0.418219,0.286879,1.282572,0.827586,0.426454,-0.826117,0.600273,1.026950,3.365079
-0.519885,-0.519885,-1.189586,-1.417505,-2.739235,-0.504646,0.292765,-0.574155,-0.492469,-1.649299,0.019190,0.019190,-0.845873,-0.169921,-2.159426,0.892599,2.467265,-1.246093,-0.087071,0.495754
-0.971079,-0.971079,-0.872811,-0.523702,-2.433051,0.394307,0.324921,0.063115,-0.082548,-0.844307,1.379864,1.379864,1.000088,-0.371461,-2.781079,1.601042,1.535923,0.552234,2.053902,-1.580051
1.368887,1.368887,-0.540500,0.407314,-0.608444,0.288302,2.234558,1.038032,0.224596,-1.293982,0.623431,0.623431,0.934797,0.742893,1.609436,1.724110,2.256699,1.868916,-0.709590,-0.459533
-0.236030,-0.236030,0.222724,0.171278,1.015905,-1.149618,-0.762885,-0.829313,-0.271652,1.329733,-0.502014,-0.502014,-1.284588,0.555929,0.630214,0.537806,-0.689894,-2.738409,-0.281443,0.728603
-0.006291,-0.006291,-1.328964,-1.160241,1.439029,0.079679,1.031497,-0.202644,1.086278,2.087096,2.095804,2.095804,-1.314956,-0.439765,2.513149,0.714243,1.609894,-1.003163,3.233635,2.256999
2.223154,2.223154,1.125830,0.521049,-1.860363,0.762377,1.095180,0.163156,2.092803,-0.475629,0.758103,0.758103,0.182779,-0.828996,-0.684840,0.661751,1.828340,0.802355,1.505030,0.260018
1.248700,1.248700,-0.814393,1.010554,-0.997630,1.232784,1.082353,-0.101094,0.120915,2.736159,-1.605193,-1.605193,-2.176398,-3.123197,-1.572425,-0.363908,0.463142,-1.091389,-0.333690,-1.842849
0.546138,0.546138,0.679914,1.430668,1.816075,-1.029665,-0.673524,-2.513913,-0.238303,0.993366,-1.613255,-1.613255,0.298912,-2.178193,3.458432,-1.664157,0.545779,-3.926435,-0.377791,1.563087
0.814892,0.814892,0.206278,0.423443,1.534346,2.363967,0.870523,-0.351618,0.207216,0.492847,1.326508,1.326508,0.382963,-1.190376,-2.085446,0.651370,-0.370362,-2.363583,-0.892171,0.230308
0.836597,0.836597,1.496392,-0.214949,0.496008,0.121272,0.442836,0.103684,0.044756,4.978106,2.297777,2.297777,0.581054,-0.360954,-0.158345,1.240114,0.920335,0.996399,0.719036,-0.151896
-0.699637,-0.699637,-2.012722,-1.513664,-1.282667,-1.045324,-0.786830,-2.136064,-0.551404,-1.726331,1.017511,1.017511,-0.158643,-0.715154,0.590912,0.682963,1.643799,-1.979382,0.357569,-1.410981
-1.453412,-1.453412,-1.662956,-1.138401,0.041761,-3.982950,-2.822387,-2.464764,-1.873330,-3.561493,-3.061290,-3.061290,-1.844239,-0.246509,-1.886780,-2.514635,-3.287373,-2.526777,-2.860660,-2.104572
0.930692,0.930692,0.495868,1.754796,-0.222727,2.031266,0.948662,1.048961,1.151258,1.190804,2.573538,2.573538,3.643211,2.677250,1.085256,1.976076,1.318186,0.728814,2.099486,0.497906
0.975387,0.975387,0.218275,-0.807612,1.998666,-0.809467,0.372580,-0.232202,-0.603979,1.319622,-0.397504,-0.397504,1.068759,-1.784468,1.131555,-0.826957,-0.328594,0.080330,-0.976458,2.939798
0.649193,0.649193,1.151469,1.945716,1.767009,0.818323,-0.687866,0.635345,0.303648,-0.313854,0.553259,0.553259,2.308386,1.129250,2.022642,0.089611,-1.441805,0.145752,-0.298917,-0.379687
0.809197,0.809197,-0.182103,-0.465235,0.952773,0.833848,0.305855,1.738590,1.047624,-1.303010,-0.396815,-0.396815,-3.069066,-0.696002,-1.264219,1.467514,2.035436,3.082489,1.528491,-0.596366
0.342435,0.342435,-0.727242,-1.444929,0.555405,0.121834,0.665839,-0.133645,-0.240089,-0.879251,0.220834,0.220834,-0.661741,-1.372087,-0.420702,-0.766185,0.486195,1.047709,-0.452666,-1.019262
-1.648805,-1.648805,1.068285,-0.250363,0.713414,-0.543864,0.861108,0.866302,0.278288,0.345274,-0.622182,-0.622182,1.794496,-1.734197,1.628840,0.443116,1.090933,0.645094,-0.085576,-1.996974
