long_1,long_2,long_3,long_4,long_5,long_6,long_7,long_8,long_9,long_10,short_1,short_2,short_3,short_4,short_5,short_6,short_7,short_8,short_9,short_10
2.171868,4.890618,6.859368,3.886712,1.152337,-2.386725,-2.423835,-0.966804,2.359368,-0.824225,2.246087,2.167962,-2.065436,-1.714850,0.792962,0.878900,-1.821296,1.820306,3.050775,-3.040534
-2.289083,-1.365254,-6.314473,-2.501973,-0.143575,-3.603536,-1.853536,-2.667989,-2.517598,-1.132833,-1.461934,-1.962911,0.508632,-0.672872,3.968730,-0.356954,-0.021993,-0.091817,0.021953,1.740214
2.322222,0.954058,0.351031,-0.580610,-1.039594,0.624468,-4.482954,1.287066,-1.328657,-2.209516,6.122515,2.852007,-1.148969,-0.740766,3.216265,-1.424360,0.868120,0.685992,1.808382,0.001421
-5.365194,-5.302694,-5.193319,-2.740194,0.630899,-4.052694,-6.224569,-4.826132,-2.509726,3.742960,-0.439413,1.076212,1.832071,3.129435,-2.443319,0.035196,2.824259,1.357462,4.060266,5.586954
-2.967257,-3.300264,-1.678194,-2.517061,-2.737764,-0.388643,0.165556,-3.786592,-4.454561,-5.392061,-2.720186,-3.761202,-7.044405,-4.722139,2.760283,1.760283,-1.282442,-3.800264,-4.810030,-2.085421
0.459275,0.919908,-2.009475,0.884324,0.545701,-4.353225,-1.446975,-2.087600,-1.099318,2.532518,1.528611,1.202440,-4.970412,-2.630568,5.662400,-2.716506,-1.638381,-1.946975,-0.606154,-3.079787
-2.305490,-1.839548,0.238455,4.801932,-1.367380,-0.336740,-2.139474,-1.027658,-1.942453,0.432791,-0.495920,0.132987,-0.030099,-1.654611,-1.963205,-1.787301,3.548026,0.124198,0.755057,0.411307
2.562094,1.168540,-1.546304,-2.699625,-5.070718,-7.301187,-7.871500,-5.051187,-0.651773,0.694907,-2.656656,-2.498453,1.543540,1.351157,-0.281656,-4.684000,-3.406656,-2.490640,2.078696,-1.099039
-2.227750,-2.315641,-0.793180,1.478793,-2.692594,-0.921109,-1.389859,-0.455289,-1.745328,-0.943570,-0.192594,0.315707,-6.616422,0.074984,1.130160,-0.824430,-2.309781,-2.766813,-5.788297,7.035922
2.148560,0.856324,4.580201,1.601685,-6.189330,0.352174,-4.986205,-0.669799,-1.150268,-0.483276,5.802857,5.068482,5.005982,3.359498,-1.783080,1.452027,0.685426,5.088014,5.380982,6.705201
-1.918897,0.676318,-1.892530,-2.924757,-1.662061,-2.602491,-5.252882,-4.752882,-3.248975,-1.518506,1.410205,-0.302038,6.137743,3.417040,-3.752882,-0.020704,-1.480420,0.029345,2.579150,-0.585645
-3.518880,-3.388021,-4.260091,-4.644856,-2.357747,-0.190755,1.622722,0.031901,0.008464,-0.186849,2.237956,0.417644,1.161784,-4.529622,2.318034,-2.315755,1.277019,-0.725423,-0.191731,0.443034
-3.043844,-5.274313,-0.529196,-2.147360,-1.100485,-1.858297,-3.567282,-2.924704,-5.836813,0.092386,-3.118063,-4.114157,-2.911032,0.672708,2.553812,-1.032126,-2.901266,-1.489157,-4.485250,3.592875
-0.686662,-3.200822,-0.457170,-2.727800,2.697127,0.187361,0.517440,0.523299,-0.166154,1.019393,1.579940,1.494002,4.583846,-0.138810,-0.148576,3.185408,3.095565,3.122908,3.974471,1.505721
6.089474,6.288693,2.948849,9.460568,-4.140995,9.163693,8.476193,6.222287,6.851193,-4.697635,5.909787,3.917599,4.214474,2.692990,-2.012088,4.476193,0.966427,3.023068,3.460568,-4.000370
-0.083604,0.857558,4.808974,2.410536,2.357802,-0.421495,3.590224,0.386610,-2.464464,2.349989,3.519911,1.312392,6.010146,6.912489,2.037978,5.141005,1.248101,4.154677,4.879286,5.016005
