long_1,long_2,long_3,long_4,long_5,long_6,long_7,long_8,long_9,long_10,short_1,short_2,short_3,short_4,short_5,short_6,short_7,short_8,short_9,short_10
5.742188,8.460938,10.429688,7.457031,4.722656,1.183594,1.146484,2.603516,5.929688,2.746094,5.816406,5.738281,1.504883,1.855469,4.363281,4.449219,1.749023,5.390625,6.621094,0.529785
-2.779297,-1.855469,-6.804688,-2.992188,-0.633789,-4.093750,-2.343750,-3.158203,-3.007812,-1.623047,-1.952148,-2.453125,0.018417,-1.163086,3.478516,-0.847168,-0.512207,-0.582031,-0.468262,1.250000
0.488770,-0.879395,-1.482422,-2.414062,-2.873047,-1.208984,-6.316406,-0.546387,-3.162109,-4.042969,4.289062,1.018555,-2.982422,-2.574219,1.382812,-3.257812,-0.965332,-1.147461,-0.025070,-1.832031
-9.398438,-9.335938,-9.226562,-6.773438,-3.402344,-8.085938,-10.257812,-8.859375,-6.542969,-0.290283,-4.472656,-2.957031,-2.201172,-0.903809,-6.476562,-3.998047,-1.208984,-2.675781,0.027023,1.553711
-1.641602,-1.974609,-0.352539,-1.191406,-1.412109,0.937012,1.491211,-2.460938,-3.128906,-4.066406,-1.394531,-2.435547,-5.718750,-3.396484,4.085938,3.085938,0.043213,-2.474609,-3.484375,-0.759766
-0.527344,-0.066711,-2.996094,-0.102295,-0.440918,-5.339844,-2.433594,-3.074219,-2.085938,1.545898,0.541992,0.215820,-5.957031,-3.617188,4.675781,-3.703125,-2.625000,-2.933594,-1.592773,-4.066406
-0.712891,-0.246948,1.831055,6.394531,0.225220,1.255859,-0.546875,0.564941,-0.349854,2.025391,1.096680,1.725586,1.562500,-0.062012,-0.370605,-0.194702,5.140625,1.716797,2.347656,2.003906
2.230469,0.836914,-1.877930,-3.031250,-5.402344,-7.632812,-8.203125,-5.382812,-0.983398,0.363281,-2.988281,-2.830078,1.211914,1.019531,-0.613281,-5.015625,-3.738281,-2.822266,1.747070,-1.430664
-3.095703,-3.183594,-1.661133,0.610840,-3.560547,-1.789062,-2.257812,-1.323242,-2.613281,-1.811523,-1.060547,-0.552246,-7.484375,-0.792969,0.262207,-1.692383,-3.177734,-3.634766,-6.656250,6.167969
1.146484,-0.145752,3.578125,0.599609,-7.191406,-0.649902,-5.988281,-1.671875,-2.152344,-1.485352,4.800781,4.066406,4.003906,2.357422,-2.785156,0.449951,-0.316650,4.085938,4.378906,5.703125
