long_1,long_2,long_3,long_4,long_5,long_6,long_7,long_8,long_9,long_10,short_1,short_2,short_3,short_4,short_5,short_6,short_7,short_8,short_9,short_10
-0.870879,-0.680462,0.442176,0.015260,0.474001,-2.062428,-1.363968,-0.031977,-0.976019,0.396844,-0.859366,-0.935871,-1.091972,0.157110,4.711182,-0.940475,-1.285165,1.104781,1.214394,-0.899268
0.284657,0.968996,-0.805597,0.239041,1.648997,-1.271435,-0.213454,0.433597,-1.519173,0.395404,1.945672,0.192151,4.271726,-0.219024,2.560729,2.362760,-0.239198,2.889576,-0.597166,1.090235
-0.261540,-2.332849,0.068787,-0.929581,0.967176,-0.571103,-0.631337,0.808832,-2.371898,0.567055,3.239592,0.027137,1.342029,0.678520,2.875999,1.541838,1.037259,0.924411,0.041469,-1.321678
-0.401707,-0.456545,-0.774874,-0.411956,-0.962787,-0.622934,-1.734751,-1.322384,0.635296,1.056386,0.613607,1.088784,-0.813011,-0.268862,-4.322951,-2.437175,0.517521,-0.488651,0.993562,4.348005
-1.742073,-1.414544,0.195104,-1.414029,-0.514576,0.955750,0.537871,-1.376191,-0.458586,-6.914486,-0.969061,-2.186599,-1.891228,-2.943559,1.866300,1.375126,-0.431139,-0.566695,-1.616287,-1.449085
-1.258540,-1.365475,-1.543086,1.245367,-0.254419,-1.029264,0.305195,-0.249138,-1.274397,-1.699258,-2.344385,-2.282181,-2.691715,0.585250,2.151173,-2.203369,-1.892600,-1.355855,-4.498615,-1.804358
2.715547,1.891366,1.897802,1.535884,-1.107491,0.274656,-0.897423,-0.194618,2.261037,0.503428,2.087590,0.286610,1.275241,-0.817807,0.111831,-3.335551,0.081196,-0.259093,0.132983,1.801786
-0.725414,-0.962016,-2.555551,-1.049028,-1.091279,-3.727326,-4.464117,-4.044003,-0.678541,-0.108316,-1.296596,-2.056962,-1.587744,1.239884,0.012918,-1.876291,-2.614244,-3.225396,0.823160,-4.002219
1.352808,1.210070,-0.297318,1.411208,-0.442056,-1.119704,-0.329921,-0.763101,0.050755,-0.205174,1.212485,0.084495,-2.444777,1.279700,-0.849010,-1.411766,-0.063953,-0.701847,-0.905278,3.358787
2.678479,0.322186,1.147469,-0.950034,0.743575,-1.164112,-2.008023,-2.159172,-0.670962,3.225127,1.716445,-0.173766,-0.923734,0.561474,-1.172028,-2.509771,-2.865186,0.819462,2.152075,4.378613
