long_1,long_2,long_3,long_4,long_5,long_6,long_7,long_8,long_9,long_10,short_1,short_2,short_3,short_4,short_5,short_6,short_7,short_8,short_9,short_10
-1.562989,-1.366874,-0.243686,-0.665463,-0.203472,-2.751892,-2.045063,-0.710494,-1.654494,-0.292080,-1.125281,-1.157884,-1.170295,-0.087634,4.435222,-1.226144,-1.507179,0.860036,0.958879,-0.901257
-1.125297,-0.428985,-2.202296,-1.144851,0.273891,-2.676137,-1.598320,-0.944384,-2.897038,-1.008155,0.816944,-0.920401,3.207283,-1.339852,1.428184,1.226482,-1.351750,1.768748,-1.721989,0.048915
-0.538121,-2.603502,-0.201295,-1.194274,0.706009,-0.844907,-0.896427,0.546520,-2.634163,0.293812,2.672670,-0.559694,0.692236,0.101954,2.313682,0.983990,0.450428,0.347844,-0.530201,-2.003737
-3.899190,-3.945935,-4.263433,-3.892080,-4.436817,-4.116742,-5.215529,-4.798443,-2.840682,-2.436659,-3.482150,-3.041943,-5.046314,-4.381717,-8.410439,-6.516567,-3.613206,-4.601506,-3.110650,0.066613
-0.718049,-0.382665,1.227680,-0.375394,0.527521,1.983580,1.576093,-0.335177,0.582473,-5.885910,-0.005740,-1.220188,-0.913206,-1.978779,2.828951,2.337142,0.535272,0.398084,-0.652258,-0.464177
-1.727727,-1.830514,-2.007812,0.782927,-0.715950,-1.496307,-0.157374,-0.710919,-1.736166,-2.165911,-3.106215,-3.060288,-3.518431,-0.184522,1.393175,-2.957624,-2.670707,-2.125627,-5.264370,-2.654421
3.237533,2.424087,2.431440,2.077185,-0.562093,0.801930,-0.356625,0.349524,2.805232,1.031717,2.552504,0.761280,1.783813,-0.348231,0.574563,-2.874908,0.555866,0.210482,0.600176,2.329289
0.261604,0.025759,-1.567679,-0.060109,-0.101581,-2.740018,-3.475284,-3.054563,0.310908,0.879067,-0.228842,-0.990884,-0.531318,2.306916,1.080957,-0.808016,-1.548166,-2.158364,1.890581,-2.953037
2.685773,2.545814,1.038687,2.749687,0.898085,0.214584,1.008374,0.576495,1.390373,1.129375,2.298960,1.151196,-1.442623,2.356636,0.241995,-0.316381,1.002748,0.375088,0.176510,4.326710
2.270060,-0.079801,0.745947,-1.348300,0.346513,-1.569147,-2.406465,-2.556558,-1.068334,2.820695,1.059851,-0.836513,-1.603697,-0.098152,-1.827138,-3.163415,-3.527933,0.159836,1.493975,3.690795
0.061181,0.247982,1.206533,-1.712516,-0.618937,-1.309438,-2.283007,-2.067797,-1.320466,1.363159,0.296071,-0.690207,0.249644,-0.745841,-0.906148,-2.815578,-3.076593,-2.417322,-0.393945,0.843835
